title,function,function_group,industries,industry_group,cluster
senior frontend developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
project manager - drainage and climate adaption,"project management,consulting,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",15
"auditor, quality assurance",quality assurance,Manufacturing and Engineering,"staffing,recruiting",Financial and Business Services,15
agile coach,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting,financial services,outsourcing,offshoring consulting","Financial and Business Services, Other, Services and Miscellaneous",15
fullstack developer (node.js & react),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
senior lca specialist,"project management,consulting,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",15
skilled c++ developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
ui/ux designer (internship),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
junior manual tester,"engineering,information technology","Information Technology, Manufacturing and Engineering","insurance,financial services",Financial and Business Services,15
senior .net developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
software engineer for digital core modernization journey,"information technology,engineering","Information Technology, Manufacturing and Engineering","it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",15
test automation engineer,quality assurance,Manufacturing and Engineering,"staffing,recruiting",Financial and Business Services,15
vice president of engineering,"engineering,information technology","Information Technology, Manufacturing and Engineering","software development,financial services","Financial and Business Services, Technology and Information",15
certified structural engineer - buildings and industry #yournextproject,"project management,consulting,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",15
react developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
senior .net developer for r&d team,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
experienced structural engineer - buildings and industry #yournextproject,"project management,consulting,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",15
projektledere og specialister til fjernvarmeafdeling,"project management,consulting,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",15
junior data architect,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
full stack developer with a focus on the frontend,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
electrical engineer (possible re-location package to czechia),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
backend developer at subaio,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
head of cloud engineering,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
node.js developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
data scientist,"engineering,information technology","Information Technology, Manufacturing and Engineering",wholesale building materials,"Financial and Business Services, Real Estate and Construction",15
ux / ui design internship,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
new test,quality assurance,Manufacturing and Engineering,"staffing,recruiting",Financial and Business Services,15
senior python developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
node.js developer with graphql,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
data science intern,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
devops engineer (gcp),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
process engineering manager til farmaceutisk virksomhed,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
"project director, floating offshore wind","engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
junior solution architect,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
front-end developer (angular) internship start 1.semester 2024,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
java developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","insurance,financial services",Financial and Business Services,15
plant quality manager,quality assurance,Manufacturing and Engineering,wholesale building materials,"Financial and Business Services, Real Estate and Construction",15
software engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
quality supervisor,quality assurance,Manufacturing and Engineering,"staffing,recruiting",Financial and Business Services,15
ui/ux designer,"engineering,information technology","Information Technology, Manufacturing and Engineering",human resources,Financial and Business Services,15
c++ developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
android developer (java & kotlin),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
full-stack developer internship,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
software engineer,"information technology,engineering","Information Technology, Manufacturing and Engineering","it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",15
(lead) power plant solutions engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
azure engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
junior qa specialist (remote internship – quality assurance),quality assurance,Manufacturing and Engineering,human resources services,Financial and Business Services,15
quality assurance engineer,"engineering,information technology,quality assurance","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
quality specialist,quality assurance,Manufacturing and Engineering,"staffing,recruiting",Financial and Business Services,15
java developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
machine learning developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
javascript developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
electrical trainee,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
full stack developer (frontend heavy),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
ambitious software engineering interns,"information technology,engineering","Information Technology, Manufacturing and Engineering","it services,it consulting,financial services","Financial and Business Services, Services and Miscellaneous",15
.net developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","banking,financial services",Financial and Business Services,15
new product introduction specialist,"engineering,project management,manufacturing","Information Technology, Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
quality manager,quality assurance,Manufacturing and Engineering,human resources services,Financial and Business Services,15
scrum master,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
c# developer | 80% remote,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
"full stack developer, laravel and vuejs","engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
electrical engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
front-end developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
director of machine learning,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
junior d365 bc developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
qa engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
mid frontend developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
front-end developer (internship),"engineering,information technology","Information Technology, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,15
unlimited business potential | open your sports franchise,"business development,general business",Management and Leadership,"spectator sports,events services",Services and Miscellaneous,16
investment principal,"education,training",Education and Training,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
student assistant for an international software company,administrative,Administrative and Support,"it services,it consulting",Services and Miscellaneous,16
customer success manager based in copenhagen,other,Other,advertising services,Services and Miscellaneous,16
videographer,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
crm manager,other,Other,"it services,it consulting",Services and Miscellaneous,16
business intelligence (bi) analyst (full or part time),analyst,Research and Analysis,"it services,it consulting",Services and Miscellaneous,16
nordic digital education manager - professional products division - copenhagen,health care provider,Healthcare and Science,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",16
guest service officer,management,Management and Leadership,"travel arrangements,hospitality",Services and Miscellaneous,16
expert - full truck load forwarding (m/f/d),other,Other,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
"director, clean ammonia and hydrogen",other,Other,"it services,it consulting",Services and Miscellaneous,16
meeting & events intern,other,Other,hospitality,Services and Miscellaneous,16
travel student,administrative,Administrative and Support,"it services,it consulting",Services and Miscellaneous,16
accenture strategy - direct dinner - aarhus,other,Other,"it services,it consulting",Services and Miscellaneous,16
react developer- budapest hungary location,other,Other,"it services,it consulting",Services and Miscellaneous,16
junior marketing specialist (remote internship - marketer),"marketing,sales",Sales and Marketing,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
"entrepreneur in residence (remote), denmark",other,Other,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
infra project manager,other,Other,"it services,it consulting",Services and Miscellaneous,16
visiting professor,other,Other,"it services,it consulting",Services and Miscellaneous,16
"financial / accounting assistant (part-time / student, prague)",finance,Legal and Finance,"it services,it consulting",Services and Miscellaneous,16
project coordinator,other,Other,"it services,it consulting",Services and Miscellaneous,16
office coordinator (part-time - 8h/week),administrative,Administrative and Support,"translation,localization",Services and Miscellaneous,16
laundry attendant,other,Other,travel arrangements,Services and Miscellaneous,16
talent acquisition analyst,science,Healthcare and Science,research services,Services and Miscellaneous,16
quality project manager,"business development,general business,management",Management and Leadership,"it services,it consulting,defense,space manufacturing,security,investigations","Aerospace and Defense, Services and Miscellaneous",16
business opportunity in the sports industry,"business development,general business,management",Management and Leadership,"spectator sports,recreational facilities,wellness,fitness services","Other, Services and Miscellaneous",16
warehouse project leader,other,Other,"it services,it consulting,appliances,electrical,electronics manufacturing,motor vehicle manufacturing","Manufacturing, Other, Services and Miscellaneous",16
general laborer,other,Other,"it services,it consulting",Services and Miscellaneous,16
"leder af beta.health, aarhus universitetshospital",health care provider,Healthcare and Science,"it services,it consulting,government administration,hospitals,health care","Healthcare and Pharmaceuticals, Services and Miscellaneous",16
communications manager,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
project assistant (part-time) – dtu skylab,administrative,Administrative and Support,"education administration programs,research services","Education and Non-profit, Services and Miscellaneous",16
general manager,management,Management and Leadership,"transportation,logistics,supply chain,storage,truck transportation","Services and Miscellaneous, Transportation and Logistics",16
test equipment developer #test and lab,other,Other,"it services,it consulting,appliances,electrical,electronics manufacturing,motor vehicle manufacturing","Manufacturing, Other, Services and Miscellaneous",16
administration assistant,"administrative,strategy,planning","Administrative and Support, Management and Leadership","transportation,logistics,supply chain,storage,truck transportation","Services and Miscellaneous, Transportation and Logistics",16
process engineer,science,Healthcare and Science,research services,Services and Miscellaneous,16
we are looking for future talents for groupm – internship starting january 2024,other,Other,advertising services,Services and Miscellaneous,16
executive assistant operations - copenhagen,administrative,Administrative and Support,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",16
fintech ui/ux designer intern (krakow-remote),other,Other,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
executive assistant - energy markets,administrative,Administrative and Support,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
strategy & insight intern,"education,training",Education and Training,advertising services,Services and Miscellaneous,16
quality assurance specialist (regular / senior),quality assurance,Manufacturing and Engineering,"it services,it consulting",Services and Miscellaneous,16
accounting (accountant),other,Other,"it services,it consulting",Services and Miscellaneous,16
senior analyst - global offshore wind fixed and floating capex modelling,research,Research and Analysis,information services,Services and Miscellaneous,16
part-time job as a rider in copenhagen!,"general business,management,business development",Management and Leadership,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
consultant - supply chain management,"consulting,supply chain","Management and Leadership, Purchasing and Supply Chain","transportation,logistics,supply chain,storage,truck transportation,warehousing,storage","Services and Miscellaneous, Transportation and Logistics",16
sustainability analyst (internship),management,Management and Leadership,"it services,it consulting",Services and Miscellaneous,16
sap inventory management consultant,engineering,Manufacturing and Engineering,"it services,it consulting",Services and Miscellaneous,16
technical artist (remote europe),"art,creative","Editing, Writing, and Creative","it services,it consulting",Services and Miscellaneous,16
we are looking for future talents for groupm – internship starting january 2024,other,Other,"advertising services,market research,online audio,video media",Services and Miscellaneous,16
【bm】business management specialist,business development,Management and Leadership,"it services,it consulting,computer hardware manufacturing","Manufacturing, Services and Miscellaneous",16
head of operations,supply chain,Purchasing and Supply Chain,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
"payroll specialist for aarhus, denmark","human resources,administrative,legal","Administrative and Support, Human Resources and People Management, Legal and Finance","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
influencer campaign manager intern,other,Other,advertising services,Services and Miscellaneous,16
procurement manager,"purchasing,supply chain",Purchasing and Supply Chain,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
market research analyst (fmcg),administrative,Administrative and Support,market research,Services and Miscellaneous,16
r&d manager,science,Healthcare and Science,research services,Services and Miscellaneous,16
associate project manager,"business development,general business,management",Management and Leadership,"it services,it consulting,defense,space manufacturing,security,investigations","Aerospace and Defense, Services and Miscellaneous",16
finance business partner,"other,finance","Legal and Finance, Other","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",16
massage therapists - 30h contract,health care provider,Healthcare and Science,"wellness,fitness services",Services and Miscellaneous,16
google ads consultant (remote),other,Other,advertising services,Services and Miscellaneous,16
global head of fraud (remote),other,Other,"it services,it consulting",Services and Miscellaneous,16
mechanical engineer,science,Healthcare and Science,research services,Services and Miscellaneous,16
interim director of curriculum & instruction 23/24 sy,other,Other,"public relations,communications services",Services and Miscellaneous,16
customer success manager,other,Other,information services,Services and Miscellaneous,16
group leader for data and sap area,management,Management and Leadership,"it services,it consulting,appliances,electrical,electronics manufacturing,motor vehicle manufacturing","Manufacturing, Other, Services and Miscellaneous",16
"associate, content operations","management,manufacturing","Management and Leadership, Manufacturing and Engineering",travel arrangements,Services and Miscellaneous,17
senior lean leader,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",electric power generation,Other,17
bu head (renewable energy ),"management,manufacturing","Management and Leadership, Manufacturing and Engineering","wholesale furniture,home furnishings,mining,oil,gas","Energy and Environment, Other, Retail and Consumer Goods",17
regional hvac engineer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
coo manufacturing,"manufacturing,product management","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
sub-bus driver,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",education administration programs,Education and Non-profit,17
sr. analyst/associate digital manager- assembly taipei,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
concrete technologist (service life assessment),"management,manufacturing","Management and Leadership, Manufacturing and Engineering","business consulting,services","Financial and Business Services, Other",17
[外商新創ic design house] package engineering- 熟悉wb尤佳,"manufacturing,product management","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
first officer - a320 type rated - experienced,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","airlines,aviation","Aerospace and Defense, Transportation and Logistics",17
asset management officer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",international affairs,Other,17
process engineer (hotforming area),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
fte band 2,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",information technology & services,Technology and Information,17
"client success representative apac (remote, contract)","management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
director of engineering,"engineering,strategy,planning,management","Management and Leadership, Manufacturing and Engineering","travel arrangements,hospitality",Services and Miscellaneous,17
ryanair cabin crew - copenhagen,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
d365 f&o production/supply chain consultant,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
manager to our strategy and operations team at bearingpoint,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",photography,Services and Miscellaneous,17
"travel consultant, sales","management,manufacturing","Management and Leadership, Manufacturing and Engineering",travel arrangements,Services and Miscellaneous,17
operations & support specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
event specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
communications and event manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",medical equipment manufacturing,Healthcare and Pharmaceuticals,17
head of operations,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",17
custodian - evening shift,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",education administration programs,Education and Non-profit,17
barber for naestved/silkeborg,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
vice president - european infrastructure advisory,"management,consulting,engineering","Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",17
specialist assembly tooling,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
experienced software craftsman,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",software development,Technology and Information,17
consultant for commercial trade planning,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",retail,Retail and Consumer Goods,17
fp&a manager,"management,consulting,engineering","Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",17
global bakery leader,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",food production,Food and Beverage,17
foundation package manager,"management,engineering,consulting","Management and Leadership, Manufacturing and Engineering",renewables & environment,Energy and Environment,17
industrial engineer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",wholesale building materials,"Financial and Business Services, Real Estate and Construction",17
marketing & event coordinator,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",utilities,Other,17
logistics specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",17
production engineer for cat plastic products,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",retail,Retail and Consumer Goods,17
plant inspector,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
logistics controller & procurement manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","oil,gas",Energy and Environment,17
"technician, mammalian upstream, manufacturing","management,manufacturing","Management and Leadership, Manufacturing and Engineering",biotechnology research,Healthcare and Pharmaceuticals,17
event sales manager/representative at hrtechx,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
donor engagement and resource mobilization specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",international affairs,Other,17
project manager - pharmaceutical industry,"consulting,engineering,manufacturing","Management and Leadership, Manufacturing and Engineering","business consulting,services,biotechnology research,pharmaceutical manufacturing","Financial and Business Services, Healthcare and Pharmaceuticals, Manufacturing, Other",17
packing assistant,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
discipline lead - structures - buildings and industry #yournextproject,"management,consulting,engineering","Management and Leadership, Manufacturing and Engineering","civil engineering,business consulting,services","Financial and Business Services, Other, Real Estate and Construction",17
"technician, parts handling","management,manufacturing","Management and Leadership, Manufacturing and Engineering","hospitals,health care",Healthcare and Pharmaceuticals,17
technical project manager,"engineering,project management","Information Technology, Management and Leadership, Manufacturing and Engineering",biotechnology research,Healthcare and Pharmaceuticals,17
renewable energy trading & optimisation compliance advisory lead,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",utilities,Other,17
assistant general manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","hospitals,health care",Healthcare and Pharmaceuticals,17
experienced cabin crew,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","airlines,aviation","Aerospace and Defense, Transportation and Logistics",17
junior people operations administrator,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
junior revenue operations specialist (part-time),"management,manufacturing","Management and Leadership, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",17
project supply coordinator,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
able seamen,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",maritime,Transportation and Logistics,17
kitchen crew,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","food,beverage services",Food and Beverage,17
crew member,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",restaurants,Food and Beverage,17
shift leader,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","food,beverage services",Food and Beverage,17
head of project excellence – remote,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
operations manager (denmark),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",financial services,Financial and Business Services,17
we are looking for warehouse workers in lynge,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
warehouse worker for a global company in brøndby,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
volunteer team member,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
junior quantity surveyor,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
commercial graduate programme - multinational company,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
supply chain specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
satellite operations superintendent,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","oil,gas",Energy and Environment,17
head of project excellence – cbs,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
people operations director,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
nautical superintendent - rohde nielsen,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",maritime transportation,Transportation and Logistics,17
field clinical specialist - electrophysiology - denmark,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",medical equipment manufacturing,Healthcare and Pharmaceuticals,17
operations associate (facilities and assets),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",international affairs,Other,17
warehouse workers with a truck certificate to lynge!,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
volunteer team member,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
logistics analyst,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
barbers wanted: join copenhagen's premier chain,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
chartering manager - m.h. simonsen,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",maritime transportation,Transportation and Logistics,17
projects director,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",real estate,Real Estate and Construction,17
operational excellence director | flexible bagsværd,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
head of project excellence – cbs – flexible working,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
pricing operations manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
coo,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
warehouse job at bring in greve,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
supply chain manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","food,beverage services",Food and Beverage,17
junior supply chain analyst,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",wholesale building materials,"Financial and Business Services, Real Estate and Construction",17
brewer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",food & beverages,Food and Beverage,17
buzz cabin crew - ostrava,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
operations lead,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
operations manager (usaid projects),"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
electrical fitter/ electrician,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
industrial engineer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",mechanical or industrial engineering,Other,17
tig welder (9/1/1/721206),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
delivery manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,17
"ebs reporting & analytics, operations manager","management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
welders to germany & poland,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","architecture,planning",Real Estate and Construction,17
customer success associate,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
warehouse specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",computer games,Technology and Information,17
assembler,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
"transport planner, fixed term contract","management,manufacturing","Management and Leadership, Manufacturing and Engineering",retail,Retail and Consumer Goods,17
logistics expert (supply chain),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",mechanical or industrial engineering,Other,17
welder,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
senior content analyst - 1 year cover,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
lcv eucom poland: warehouseman,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,17
buzz cabin crew - brno,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
general manager,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
cnc operator (9/1/1/9329-o),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
rota nanny,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
cabin crew lauda europe,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
freelance film colorist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
country people delivery manager (m/w/d),"management,manufacturing","Management and Leadership, Manufacturing and Engineering","technology,information,internet",Technology and Information,17
